date,Brugnera,Capriva del Friuli,Cervignano del Friuli,Cividale del Friuli,Codroipo,Enemonzo,Fagagna,Fossalon,Gemona del Friuli,Gradisca d'Is.,Lignano,Monte Zoncolan,Musi,Palazzolo dello Stella,San Vito al Tgl.,Sgonico-Zgonik,Talmassons,Tarvisio,Trieste molo F.lli Bandiera,Udine S.O.,Vivaro
2004-1,13.2,32.4,30.0,34.8,21.4,4.4,14.8,18.4,14.4,21.2,22.6,,32.2,22.8,19.6,34.2,22.8,14.6,22.8,28.2,14.0
2004-2,43.2,54.4,43.0,70.6,56.0,27.4,77.4,38.8,70.2,54.2,39.2,,62.6,39.6,45.8,46.6,47.2,21.0,39.8,63.4,60.2
2004-3,26.6,21.8,30.3,19.4,29.2,23.0,22.4,22.6,18.2,22.6,33.2,,44.8,41.6,35.4,23.2,31.0,25.2,13.6,17.4,23.4
2004-4,23.2,25.0,14.0,35.6,15.6,47.2,15.4,12.4,34.0,21.8,11.6,,54.8,18.4,18.0,20.2,14.0,29.2,9.2,18.0,19.8
2004-5,30.8,20.8,29.6,48.4,32.2,86.4,41.4,19.0,44.4,19.0,13.6,,85.8,34.2,33.0,22.6,73.2,44.0,19.6,42.4,41.2
2004-6,28.4,48.6,31.5,26.6,17.4,48.8,52.4,29.0,37.8,40.6,33.2,,73.0,52.6,22.0,27.2,37.8,49.6,22.0,31.6,27.2
2004-7,22.6,18.0,8.6,31.8,21.6,21.4,22.2,17.2,40.6,29.6,14.0,,51.2,16.0,13.4,60.2,10.4,48.0,19.8,23.6,22.2
2004-8,28.6,27.0,62.2,77.4,57.6,64.0,67.6,10.0,108.2,25.8,10.0,,122.2,40.2,38.6,10.4,24.2,42.6,16.2,61.6,70.4
2004-9,36.0,72.4,26.9,29.2,39.0,60.0,28.8,54.4,50.4,55.2,25.6,,99.8,32.4,25.8,31.2,28.2,46.0,43.8,31.2,53.4
2004-10,107.0,86.8,50.0,113.8,94.2,147.4,118.8,55.2,158.4,84.0,46.2,,174.8,116.4,62.4,51.8,77.8,83.8,52.2,93.8,106.0
2004-11,56.6,82.6,82.7,67.0,77.4,81.4,81.8,70.2,93.4,54.8,61.2,,98.8,74.6,41.0,56.0,80.6,36.0,37.8,81.4,50.2
2004-12,37.6,82.6,49.7,87.2,93.8,93.4,75.0,34.8,92.0,60.0,52.2,,144.0,107.4,46.0,47.0,68.8,71.2,22.8,79.8,59.4
2005-1,4.6,11.4,9.3,8.2,10.8,3.0,8.6,8.8,1.2,9.8,12.2,,5.4,14.2,11.0,8.0,11.4,3.2,7.4,9.2,7.2
2005-2,12.6,11.0,10.8,3.2,7.2,14.6,8.6,5.0,5.2,5.6,5.2,,4.4,12.6,7.2,4.0,7.6,5.6,3.2,5.4,9.0
2005-3,5.0,23.6,14.2,21.2,16.0,6.6,14.8,12.2,7.8,19.8,11.8,,23.6,13.6,7.8,24.6,15.8,12.2,19.8,17.6,8.8
2005-4,31.6,43.6,27.3,64.6,54.2,31.0,58.2,30.4,45.2,37.0,20.6,,110.0,24.8,39.6,30.2,46.4,60.2,20.0,67.4,48.0
2005-5,16.0,43.4,23.1,23.4,25.8,30.8,34.6,17.8,28.8,35.4,18.6,,55.8,18.4,21.4,28.0,16.4,27.2,19.4,17.6,27.6
2005-6,44.4,43.8,9.4,32.4,36.0,21.0,54.0,32.8,59.6,15.6,6.2,,93.4,20.2,22.0,14.0,14.2,44.6,20.8,27.4,29.6
2005-7,37.4,99.2,17.6,89.4,25.6,27.6,43.6,26.4,38.2,46.2,8.0,,32.4,31.2,30.6,75.0,35.0,53.0,21.0,47.6,19.4
2005-8,24.8,53.2,64.3,37.0,37.2,32.6,95.4,72.0,25.0,92.0,25.8,,68.2,54.8,46.8,46.8,47.0,24.8,30.0,39.0,42.6
2005-9,109.6,53.8,50.9,133.2,38.4,90.4,40.0,54.8,73.6,125.0,87.4,,117.2,37.8,136.0,62.6,39.4,60.6,56.8,60.4,210.8
